question_id,topic,question_text,correct_answer,label,solution_explanation,difficulty,render_as
Q_PARTIAL_001,Algebra,Solve for x: x^2 - 5x + 6 = 0,x = 2 or x = 3,correct,Factor as (x-2)(x-3)=0. Solutions are x=2 and x=3.,medium,latex
Q_INCORRECT_001,Algebra,Solve for x: 2x + 5 = 1,x = -2,correct,2x = 1 - 5 => 2x = -4 => x = -2.,easy,latex
Q_ERROR_001,Geometry,What is the area of a square with side 5 cm? Include units in your answer.,25 cm^2,correct,Area = side^2 = $5^2 = 25$. Units are cm$^2$.,medium,markdown
Q_FRACTION_001,Algebra,Solve for x: 3x + 4 = 9,x = 5/3,correct,3x = 9 - 4 => 3x = 5. Divide by 3: x = $5/3$.,medium,latex
Q005,Geometry,Find the area of a triangle with a base of 15 mm and a height of 22 mm.,165 mm^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 15 \times 22 = 165 mm^2$.",hard,markdown
Q006,Algebra,Solve for x: 11x + 0 = 48,x = 48/11,correct,"Given: 11x + 0 = 48. Subtract 0 from both sides: 11x = 48. So, x = $48/11$. Simplified, x = $48/11$.",hard,latex
Q007,Geometry,What is the area of a circle with radius 13 m? (Use 'pi' in your answer),169pi m^2,correct,"The area of a circle is $A = \pi r^2$. So, Area = $\pi \times 13^2 = 169\pi$ m$^2$.",hard,markdown
Q008,Word Problems,"Sarah bought 6 pens at $8 each, and 3 folders at $9 each. How much did Sarah spend in total?",$75,correct,Cost of pens: 6 * $8 = $48. Cost of folders: 3 * $9 = $27. Total = $48 + $27 = $75.,hard,markdown
Q009,Arithmetic,What is 50% of 280?,140,correct,50% of 280 is $(50/100) \times 280 = 140$.,hard,markdown
Q010,Geometry,What is the area of a circle with radius 14 cm? (Use 'pi' in your answer),196pi cm^2,correct,"The area of a circle is $A = \pi r^2$. So, Area = $\pi \times 14^2 = 196\pi$ cm$^2$.",hard,markdown
Q011,Algebra,Solve for x: 9x + -13 = 16,x = 29/9,correct,"Given: 9x + -13 = 16. Subtract -13 from both sides: 9x = 29. So, x = $29/9$. Simplified, x = $29/9$.",hard,latex
Q012,Arithmetic,Calculate: $(6 \times 4) + (20 \div 2)$,34,correct,"First, $(6 \times 4) = 24$. Next, $(20 \div 2) = 10$. Finally, $24 + 10 = 34$.",hard,latex
Q013,Algebra,Solve for x: 11x + 25 = -20,x = -45/11,correct,"Given: 11x + 25 = -20. Subtract 25 from both sides: 11x = -45. So, x = $-45/11$. Simplified, x = $-45/11$.",hard,latex
Q014,Algebra,Solve for x: 12x + -19 = -32,x = -13/12,correct,"Given: 12x + -19 = -32. Subtract -19 from both sides: 12x = -13. So, x = $-13/12$. Simplified, x = $-13/12$.",hard,latex
Q015,Arithmetic,What is $31 \div 9$? Express as a simplified fraction.,31/9,correct,$31 / 9$ simplifies to the fraction $31/9$.,hard,latex
Q016,Algebra,Solve for x: 14x + 21 = -2,x = -23/14,correct,"Given: 14x + 21 = -2. Subtract 21 from both sides: 14x = -23. So, x = $-23/14$. Simplified, x = $-23/14$.",hard,latex
Q017,Word Problems,"Emily bought 7 pens at $5 each, and 4 folders at $6 each. How much did Emily spend in total?",$59,correct,Cost of pens: 7 * $5 = $35. Cost of folders: 4 * $6 = $24. Total = $35 + $24 = $59.,hard,markdown
Q018,Algebra,Solve for x: 5x + -8 = -40,x = -32/5,correct,"Given: 5x + -8 = -40. Subtract -8 from both sides: 5x = -32. So, x = $-32/5$. Simplified, x = $-32/5$.",hard,latex
Q019,Geometry,A square has a side length of 24 cm. What is its area?,576 cm^2,correct,"The area of a square is given by the formula $A = s^2$. So, Area = $24^2 = 576$ cm$^2$.",hard,markdown
Q020,Arithmetic,What is $58 \div 17$? Express as a simplified fraction.,58/17,correct,$58 / 17$ simplifies to the fraction $58/17$.,hard,latex
Q021,Geometry,Find the area of a triangle with a base of 20 feet and a height of 21 feet.,210 feet^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 20 \times 21 = 210 feet^2$.",hard,markdown
Q022,Algebra,Solve for x: 1x + -11 = 11,x = 22,correct,Given: 1x + -11 = 11. Subtract -11 from both sides: 1x = 22. Then divide by 1: x = 22.,hard,latex
Q023,Word Problems,"John bought 6 notebooks at $8 each, and 5 erasers at $11 each. How much did John spend in total?",$103,correct,Cost of notebooks: 6 * $8 = $48. Cost of erasers: 5 * $11 = $55. Total = $48 + $55 = $103.,hard,markdown
